"Timestamp","What gender are you?","What major are you?","Which is better for the title of a book/article? (1)","Which is better for the title of a book/article? (2)","Which is better for the title of a book/article? (3)","Which is better for the title of a book/article? (4)","Which is better for the title of a book/article? (5)","Which is better for the title of a book/article? (6)","Which is better for the title of a book/article? (7)","Which is better for the title of a book/article? (8)","Which is better for the title of a book/article? (9)","Which is better for the title of a book/article? (10)","Which is better for the title of a book/article? (11)","Which is better for the title of a book/article? (12)","Which is better for the title of a book/article? (13)","Which is better for the title of a book/article? (14)","Which is better for the title of a book/article? (15)","Which is better for the title of a book/article? (16)"
"2016/04/18 9:10:59 PM AST","Female","Computer Science","Thinking Fast and Slow","Outliers: The Story of Success","Team of Rivals: The Political Genius of Abraham Lincoln","The Making of Modern Colombia: A Nation in Spite of Itself","The Brazilian Economy Today: Towards a New Socio-Economic Model?","Between Me and the World","Global Inequality: A New Approach for the Age of Globalization","Globalization In the Modern World","Profit Over People","American Lion: Andrew Jackson in the White House","The Third Wave: An Entrepreneur's Vision of the Future","Jack Ma: A Rockefeller In the Modern World","The China Challenge","Fifty Dresses That Changed the World","Treasure Islands: Uncovering the Damage of Offshore Banking and Tax Havens","""I Photoshopped Kanye Kissing Himself And A Famous Artist Reportedly Made $100,000 Off It"""
"2016/04/18 9:11:24 PM AST","Male","Computer Engineering","Thinking Fast and Slow","Outliers: The Story of Success","Team of Rivals: The Political Genius of Abraham Lincoln","The Making of Modern Colombia: A Nation in Spite of Itself","The Brazilian Economy Today: Towards a New Socio-Economic Model?","Between Me and the World","Global Inequality: A New Approach for the Age of Globalization","Globalization In the Modern World","Profit Over People","American Lion: Andrew Jackson in the White House","Disrupted: My Misadventure in the Start-Up Bubble","Jack Ma: A Rockefeller In the Modern World","The China Challenge","Fifty Dresses That Changed the World","Treasure Islands: Uncovering the Damage of Offshore Banking and Tax Havens","The Life of Kanye Kissing Kanye"
"2016/04/18 9:27:59 PM AST","Female","Game design and development ","The Two Systems of the Brain","Outliers: The Story of Success","Team of Rivals: The Political Genius of Abraham Lincoln","Colombia: A Concise Contemporary History","The Brazilian Economy Today: Growth and Development","Between this World and Me","Global Inequality: A New Approach for the Age of Globalization","Globalization In the Modern World","People Over Profit","American Lion: Andrew Jackson in the White House","The Third Wave: An Entrepreneur's Vision of the Future","Jack Ma: A Rockefeller In the Modern World","The Future of China","Fifty Dresses That Changed the World","Treasure Islands: Uncovering the Damage of Offshore Banking and Tax Havens","""I Photoshopped Kanye Kissing Himself And A Famous Artist Reportedly Made $100,000 Off It"""
"2016/04/18 9:28:15 PM AST","Female","Business ","Thinking Fast and Slow","Those That Stand Out","Team of Rivals: The Political Genius of Abraham Lincoln","The Making of Modern Colombia: A Nation in Spite of Itself","The Brazilian Economy Today: Growth and Development","Between this World and Me","Inequality: What Can Be Done?","Globalization and Its Discontents","Profit Over People","American Lion: Andrew Jackson in the White House","Disrupted: My Misadventure in the Start-Up Bubble","Alibaba: The House That Jack Ma Built","The China Challenge","History's Most Important Dresses","Treasure Islands: Uncovering the Damage of Offshore Banking and Tax Havens","""I Photoshopped Kanye Kissing Himself And A Famous Artist Reportedly Made $100,000 Off It"""
"2016/04/18 10:10:28 PM AST","Male","Biology","The Two Systems of the Brain","Outliers: The Story of Success","Lincoln: A Novel","Colombia: A Concise Contemporary History","The Brazilian Economy Today: Growth and Development","Between Me and the World","Global Inequality: A New Approach for the Age of Globalization","Globalization In the Modern World","People Over Profit","Andrew Jackson: His Life and Times","Disrupted: My Misadventure in the Start-Up Bubble","Jack Ma: A Rockefeller In the Modern World","The Future of China","History's Most Important Dresses","The Hidden Wealth of Nations: The Scourge of Tax Havens","The Life of Kanye Kissing Kanye"
"2016/04/18 10:36:54 PM AST","Male","CS","The Two Systems of the Brain","Outliers: The Story of Success","Lincoln: A Novel","Colombia: A Concise Contemporary History","The Brazilian Economy Today: Growth and Development","Between this World and Me","Global Inequality: A New Approach for the Age of Globalization","Globalization In the Modern World","People Over Profit","Andrew Jackson: His Life and Times","The Third Wave: An Entrepreneur's Vision of the Future","Alibaba: The House That Jack Ma Built","The Future of China","History's Most Important Dresses","Treasure Islands: Uncovering the Damage of Offshore Banking and Tax Havens","The Life of Kanye Kissing Kanye"
"2016/04/18 11:38:43 PM AST","Male","Software Engineering","Thinking Fast and Slow","Outliers: The Story of Success","Lincoln: A Novel","The Making of Modern Colombia: A Nation in Spite of Itself","The Brazilian Economy Today: Growth and Development","Between this World and Me","Global Inequality: A New Approach for the Age of Globalization","Globalization In the Modern World","Profit Over People","American Lion: Andrew Jackson in the White House","Disrupted: My Misadventure in the Start-Up Bubble","Alibaba: The House That Jack Ma Built","The Future of China","History's Most Important Dresses","The Hidden Wealth of Nations: The Scourge of Tax Havens","""I Photoshopped Kanye Kissing Himself And A Famous Artist Reportedly Made $100,000 Off It"""
"2016/04/19 12:56:22 AM AST","Male","CS/Math","Thinking Fast and Slow","Outliers: The Story of Success","Team of Rivals: The Political Genius of Abraham Lincoln","The Making of Modern Colombia: A Nation in Spite of Itself","The Brazilian Economy Today: Growth and Development","Between this World and Me","Global Inequality: A New Approach for the Age of Globalization","Globalization In the Modern World","People Over Profit","American Lion: Andrew Jackson in the White House","Disrupted: My Misadventure in the Start-Up Bubble","Alibaba: The House That Jack Ma Built","The China Challenge","History's Most Important Dresses","The Hidden Wealth of Nations: The Scourge of Tax Havens","""I Photoshopped Kanye Kissing Himself And A Famous Artist Reportedly Made $100,000 Off It"""
"2016/04/19 2:54:49 AM AST","Male","Computer Engineering","Thinking Fast and Slow","Outliers: The Story of Success","Team of Rivals: The Political Genius of Abraham Lincoln","The Making of Modern Colombia: A Nation in Spite of Itself","The Brazilian Economy Today: Towards a New Socio-Economic Model?","Between Me and the World","Global Inequality: A New Approach for the Age of Globalization","Globalization and Its Discontents","Profit Over People","American Lion: Andrew Jackson in the White House","The Third Wave: An Entrepreneur's Vision of the Future","Alibaba: The House That Jack Ma Built","The China Challenge","Fifty Dresses That Changed the World","The Hidden Wealth of Nations: The Scourge of Tax Havens","""I Photoshopped Kanye Kissing Himself And A Famous Artist Reportedly Made $100,000 Off It"""
"2016/04/19 3:25:38 AM AST","Female","Computer Science","Thinking Fast and Slow","Outliers: The Story of Success","Team of Rivals: The Political Genius of Abraham Lincoln","The Making of Modern Colombia: A Nation in Spite of Itself","The Brazilian Economy Today: Growth and Development","Between this World and Me","Global Inequality: A New Approach for the Age of Globalization","Globalization In the Modern World","People Over Profit","Andrew Jackson: His Life and Times","Disrupted: My Misadventure in the Start-Up Bubble","Jack Ma: A Rockefeller In the Modern World","The China Challenge","Fifty Dresses That Changed the World","Treasure Islands: Uncovering the Damage of Offshore Banking and Tax Havens","""I Photoshopped Kanye Kissing Himself And A Famous Artist Reportedly Made $100,000 Off It"""
